lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.0001,2000,1e-07,3,0.64,0.64,0.6367214107318551
0.0001,2000,1e-07,5,0.6225,0.6225,0.6224976406102538
0.0001,2000,1e-07,7,0.64,0.64,0.6328029375764994
0.0001,2000,1e-06,3,0.6525,0.6525,0.6509094562098561
0.0001,2000,1e-06,5,0.6575,0.6575,0.6531096692514637
0.0001,2000,1e-06,7,0.6475,0.6475,0.6473920138042275
0.0001,2000,1e-05,3,0.67,0.67,0.6678743961352657
0.0001,2000,1e-05,5,0.6275,0.6275,0.626657646314497
0.0001,2000,1e-05,7,0.6475,0.6475,0.6465257365613973
0.0001,3000,1e-07,3,0.675,0.675,0.6733996583257964
0.0001,3000,1e-07,5,0.6575,0.6575,0.6565533752405066
0.0001,3000,1e-07,7,0.62,0.62,0.6199619961996199
0.0001,3000,1e-06,3,0.6675,0.6675,0.6654908544445073
0.0001,3000,1e-06,5,0.68,0.68,0.6797998749218261
0.0001,3000,1e-06,7,0.6225,0.6225,0.6141043579373751
0.0001,3000,1e-05,3,0.6625,0.6625,0.6604606417293871
0.0001,3000,1e-05,5,0.69,0.69,0.689930234302718
0.0001,3000,1e-05,7,0.6375,0.6375,0.6366802598362555
0.0001,4000,1e-07,3,0.6475,0.6475,0.6450843553938997
0.0001,4000,1e-07,5,0.6625,0.6625,0.6622445724579213
0.0001,4000,1e-07,7,0.665,0.665,0.6605102480301994
0.0001,4000,1e-06,3,0.64,0.64,0.6394230769230769
0.0001,4000,1e-06,5,0.6325,0.6325,0.630279365438666
0.0001,4000,1e-06,7,0.665,0.665,0.6649916247906198
0.0001,4000,1e-05,3,0.66,0.66,0.6594551282051282
0.0001,4000,1e-05,5,0.655,0.655,0.6545768566493955
0.0001,4000,1e-05,7,0.645,0.645,0.6437173825772782
0.001,2000,1e-07,3,0.6275,0.6275,0.6257950285990543
0.001,2000,1e-07,5,0.635,0.635,0.6346712040836753
0.001,2000,1e-07,7,0.6175,0.6175,0.6145488899385922
0.001,2000,1e-06,3,0.625,0.625,0.6236451224407868
0.001,2000,1e-06,5,0.6275,0.6275,0.6268259543800991
0.001,2000,1e-06,7,0.6125,0.6125,0.6101585145781853
0.001,2000,1e-05,3,0.6225,0.6225,0.6210196078431373
0.001,2000,1e-05,5,0.635,0.635,0.6345523266000851
0.001,2000,1e-05,7,0.6125,0.6125,0.6101585145781853
0.001,3000,1e-07,3,0.625,0.625,0.6234089026135422
0.001,3000,1e-07,5,0.6375,0.6375,0.6373889503660496
0.001,3000,1e-07,7,0.615,0.615,0.6125201288244766
0.001,3000,1e-06,3,0.6225,0.6225,0.6199130330814104
0.001,3000,1e-06,5,0.6275,0.6275,0.6268259543800991
0.001,3000,1e-06,7,0.6175,0.6175,0.6154788607618796
0.001,3000,1e-05,3,0.62,0.62,0.6178504085480829
0.001,3000,1e-05,5,0.64,0.64,0.6397748592870545
0.001,3000,1e-05,7,0.6175,0.6175,0.616
0.001,4000,1e-07,3,0.6325,0.6325,0.6314842785427334
0.001,4000,1e-07,5,0.625,0.625,0.6242390841453944
0.001,4000,1e-07,7,0.61,0.61,0.607487922705314
0.001,4000,1e-06,3,0.6225,0.6225,0.6199130330814104
0.001,4000,1e-06,5,0.6325,0.6325,0.6321114176849296
0.001,4000,1e-06,7,0.6125,0.6125,0.6095103133364824
0.001,4000,1e-05,3,0.6275,0.6275,0.6260392156862745
0.001,4000,1e-05,5,0.6375,0.6375,0.6373163914231579
0.001,4000,1e-05,7,0.6075,0.6075,0.6044717367343726
0.01,2000,1e-07,3,0.615,0.615,0.6118560338743825
0.01,2000,1e-07,5,0.6375,0.6375,0.635840799643375
0.01,2000,1e-07,7,0.6125,0.6125,0.6083856012228475
0.01,2000,1e-06,3,0.615,0.615,0.6118560338743825
0.01,2000,1e-06,5,0.6375,0.6375,0.635840799643375
0.01,2000,1e-06,7,0.6125,0.6125,0.6083856012228475
0.01,2000,1e-05,3,0.615,0.615,0.6118560338743825
0.01,2000,1e-05,5,0.64,0.64,0.6384725465090005
0.01,2000,1e-05,7,0.615,0.615,0.6111111111111112
0.01,3000,1e-07,3,0.615,0.615,0.6118560338743825
0.01,3000,1e-07,5,0.6375,0.6375,0.635840799643375
0.01,3000,1e-07,7,0.615,0.615,0.6107080563209384
0.01,3000,1e-06,3,0.615,0.615,0.6118560338743825
0.01,3000,1e-06,5,0.6375,0.6375,0.635840799643375
0.01,3000,1e-06,7,0.615,0.615,0.6107080563209384
0.01,3000,1e-05,3,0.61,0.61,0.6068152031454783
0.01,3000,1e-05,5,0.64,0.64,0.6384725465090005
0.01,3000,1e-05,7,0.6175,0.6175,0.613438690239327
0.01,4000,1e-07,3,0.615,0.615,0.6118560338743825
0.01,4000,1e-07,5,0.6375,0.6375,0.635840799643375
0.01,4000,1e-07,7,0.6125,0.6125,0.6083856012228475
0.01,4000,1e-06,3,0.615,0.615,0.6118560338743825
0.01,4000,1e-06,5,0.6375,0.6375,0.635840799643375
0.01,4000,1e-06,7,0.6125,0.6125,0.6083856012228475
0.01,4000,1e-05,3,0.6125,0.6125,0.6095103133364824
0.01,4000,1e-05,5,0.64,0.64,0.6384725465090005
0.01,4000,1e-05,7,0.6175,0.6175,0.6138289615658857
0.1,2000,1e-07,3,0.6175,0.6175,0.6130280554659787
0.1,2000,1e-07,5,0.6475,0.6475,0.6447803495512519
0.1,2000,1e-07,7,0.6275,0.6275,0.6192155584944958
0.1,2000,1e-06,3,0.6125,0.6125,0.6116237260318593
0.1,2000,1e-06,5,0.6475,0.6475,0.6425651653136111
0.1,2000,1e-06,7,0.6125,0.6125,0.6095103133364824
0.1,2000,1e-05,3,0.625,0.625,0.6175030599755202
0.1,2000,1e-05,5,0.6475,0.6475,0.6444578928456607
0.1,2000,1e-05,7,0.61,0.61,0.6032956972841013
0.1,3000,1e-07,3,0.635,0.635,0.634771732332708
0.1,3000,1e-07,5,0.64,0.64,0.637060187518903
0.1,3000,1e-07,7,0.6225,0.6225,0.6195874665407023
0.1,3000,1e-06,3,0.6175,0.6175,0.6125969298939706
0.1,3000,1e-06,5,0.6475,0.6475,0.6450843553938997
0.1,3000,1e-06,7,0.6275,0.6275,0.6213444812228794
0.1,3000,1e-05,3,0.6275,0.6275,0.6186307821268373
0.1,3000,1e-05,5,0.65,0.65,0.6448863636363636
0.1,3000,1e-05,7,0.625,0.625,0.6163682864450128
0.1,4000,1e-07,3,0.6175,0.6175,0.6148787686189124
0.1,4000,1e-07,5,0.6325,0.6325,0.6308179141212147
0.1,4000,1e-07,7,0.61,0.61,0.6096486838154338
0.1,4000,1e-06,3,0.635,0.635,0.6342593752348505
0.1,4000,1e-06,5,0.645,0.645,0.6442796663243067
0.1,4000,1e-06,7,0.6075,0.6075,0.6057034865104132
0.1,4000,1e-05,3,0.6025,0.6025,0.5990695387408513
0.1,4000,1e-05,5,0.6475,0.6475,0.6437572243382033
0.1,4000,1e-05,7,0.605,0.605,0.5982097446851795
